name,n_phases,n_conds,reduce,rho_earth,x_coords,heights,units,spacing,wires,cn_cables,ts_cables
oh3p_fr8_n56_oh_1/0_aaac_6201_oh_1/0_aaac_6201_cn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_336_aac_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_477_AAC OH_477_AAC OH_477_AAC OH_336_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_477_aac_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_477_AAC OH_477_AAC OH_477_AAC OH_477_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_6201_oh_1/0_aaac_6201_an,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 ],[ ],[ ]
oh3p_armlpin_n30_oh_1/0_aaac_6201_oh_1/0_aaac_6201_an,1,2,true,100,[ -0.067 0 ],[ 28.83 26 ],[ ft ft ],,[ OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 ],[ ],[ ]
oh1p_vert_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_an,1,2,true,100,[ 0 0 ],[ 32 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_armlpin_n30_oh_1/0_aaac_5005_oh_1/0_aaac_5005_bn,1,2,true,100,[ -0.067 0 ],[ 28.83 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_unknown_bn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_Unknown ],[ ],[ ]
oh3p_armlpin_n30_oh_1/0_aaac_5005_oh_unknown_bn,1,2,true,100,[ -0.067 0 ],[ 28.83 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_Unknown ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_336_aac_an,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_477_AAC OH_336_AAC ],[ ],[ ]
oh3p_armlpin_n30_oh_1/0_aaac_5005_oh_1/0_aaac_5005_an,1,2,true,100,[ -0.067 0 ],[ 28.83 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_336_aac_oh_1/0_aaac_5005_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_336_AAC OH_336_AAC OH_336_AAC OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_armlpin_n30_oh_1/0_aaac_5005_oh_1/0_aaac_5005_cn,1,2,true,100,[ -0.067 0 ],[ 28.83 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_6201_oh_1/0_aaac_6201_bn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_bcn,2,3,true,100,[ -3.67 0 0 ],[ 31.33 31.33 26 ],[ ft ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_477_aac_bn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_477_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_cn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_acn,2,3,true,100,[ -3.67 0 0 ],[ 31.33 31.33 26 ],[ ft ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_an,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_336_aac_oh_4/0_aac_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_336_AAC OH_336_AAC OH_336_AAC OH_4/0_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_#2_aaac_5005_oh_#2_aaac_5005_an,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_#2_AAAC_5005 OH_#2_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_bn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_#2_aaac_5005_oh_#2_aaac_5005_cn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_#2_AAAC_5005 OH_#2_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_6201_oh_1/0_aaac_6201_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 ],[ ],[ ]
oh3p_fr8_n56_oh_336_aac_oh_4/0_aac_bn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_336_AAC OH_4/0_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_#2_aaac_5005_oh_#2_aaac_5005_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_#2_AAAC_5005 OH_#2_AAAC_5005 OH_#2_AAAC_5005 OH_#2_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_#2_aaac_5005_oh_#2_aaac_5005_bn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_#2_AAAC_5005 OH_#2_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_#2_aaac_5005_oh_#2_aaac_5005_acn,2,3,true,100,[ -3.67 0 0 ],[ 31.33 31.33 26 ],[ ft ft ft ],,[ OH_#2_AAAC_5005 OH_#2_AAAC_5005 OH_#2_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_477_aac_an,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_477_AAC OH_477_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_477_aac_bn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_477_AAC OH_477_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_477_aac_cn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_477_AAC OH_477_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_477_aac_acn,2,3,true,100,[ -3.67 0 0 ],[ 31.33 31.33 26 ],[ ft ft ft ],,[ OH_477_AAC OH_477_AAC OH_477_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_#2_aaac_5005_oh_4/0_aac_cn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_#2_AAAC_5005 OH_4/0_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_abn,2,3,true,100,[ -3.67 0 0 ],[ 31.33 31.33 26 ],[ ft ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_fr8_n56_oh_336_acsr_18/1_oh_4/0_acsr_6/1_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_336_ACSR_18/1 OH_336_ACSR_18/1 OH_336_ACSR_18/1 OH_4/0_ACSR_6/1 ],[ ],[ ]
oh3p_fr8_n56_oh_#6a_copperweld_oh_#6a_copperweld_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_#6A_Copperweld OH_#6A_Copperweld OH_#6A_Copperweld OH_#6A_Copperweld ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_336_aac_cn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_477_AAC OH_336_AAC ],[ ],[ ]
oh1p_vert_n56_oh_1/0_aaac_5005_oh_1/0_acsr_6/1_an,1,2,true,100,[ 0 0 ],[ 32 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_ACSR_6/1 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_acsr_6/1_oh_477_aac_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_1/0_ACSR_6/1 OH_1/0_ACSR_6/1 OH_1/0_ACSR_6/1 OH_477_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_336_aac_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_336_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_6201_oh_1/0_aaac_6201_bcn,2,3,true,100,[ -3.67 0 0 ],[ 31.33 31.33 26 ],[ ft ft ft ],,[ OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_336_aac_acn,2,3,true,100,[ -3.67 0 0 ],[ 31.33 31.33 26 ],[ ft ft ft ],,[ OH_477_AAC OH_477_AAC OH_336_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_#6a_copperweld_oh_#6a_copperweld_cn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_#6A_Copperweld OH_#6A_Copperweld ],[ ],[ ]
oh3p_fr8_n56_oh_477_aac_oh_336_aac_bn,1,2,true,100,[ -3.67 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_477_AAC OH_336_AAC ],[ ],[ ]
oh3p_fr8_n56_oh_477_acsr_24/7_oh_#6a_copperweld_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_477_ACSR_24/7 OH_477_ACSR_24/7 OH_477_ACSR_24/7 OH_#6A_Copperweld ],[ ],[ ]
oh3p_fr8_n56_oh_#6a_copperweld_oh_336_aac_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_#6A_Copperweld OH_#6A_Copperweld OH_#6A_Copperweld OH_336_AAC ],[ ],[ ]
oh3p_armlpin_n30_oh_336_aac_oh_4/0_aac_cn,1,2,true,100,[ -0.067 0 ],[ 28.83 26 ],[ ft ft ],,[ OH_336_AAC OH_4/0_AAC ],[ ],[ ]
oh3p_fr10_n56_oh_1/0_aaac_5005_oh_1/0_aaac_5005_cn,1,2,true,100,[ -4.58 0 ],[ 31.33 26 ],[ ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 ],[ ],[ ]
oh3p_armlpin_n30_oh_1/0_aaac_6201_oh_1/0_aaac_6201_cn,1,2,true,100,[ -0.067 0 ],[ 28.83 26 ],[ ft ft ],,[ OH_1/0_AAAC_6201 OH_1/0_AAAC_6201 ],[ ],[ ]
oh3p_fr8_n56_oh_1/0_aaac_5005_oh_477_aac_abcn,3,4,true,100,[ -3.67 0 3.67 0 ],[ 31.33 31.33 31.33 26 ],[ ft ft ft ft ],,[ OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_1/0_AAAC_5005 OH_477_AAC ],[ ],[ ]
